Game_date=20170925;DFS_Salary_date=20170925
MLB_ID;ESPN_ID;Name(LF);Name(FL);Team;H/A;Bats;Active;FD_pos;DK_pos;DD_pos;YH_pos;FD_sal;DK_sal;DD_sal;YH_sal;NP;PA;AB;Hits;2B;3B;HR;Runs;RBI;BB;IBB;SO;HBP;SB;CS;AVG;OBP;SLG;OPS;wOBA;MLB_ID(p);ESPN_ID(p);Pitcher_name(LF);Pitcher_name(FL);P_Team;Throws;game_time;Stadium;FD_sal;DK_sal;DD_sal;YH_sal
501571;31410;Lagares, Juan;Juan Lagares;nym;H;R;1;7;7;7;7;;;;;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
642708;33215;Rosario, Amed;Amed Rosario;nym;H;R;1;;;;;;;;;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
607043;32159;Nimmo, Brandon;Brandon Nimmo;nym;H;L;1;;;;;;;;;6;1;0;0;0;0;0;1;0;1;0;0;0;0;0;.000;1.000;.000;1.000;.700;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
571679;31697;Freitas, David;David Freitas;atl;A;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
611177;33080;Garcia, Adonis;Adonis Garcia;atl;A;R;1;7;57;57;5;;;;;21;3;3;1;1;0;0;1;0;0;0;1;0;0;0;.333;.333;.667;1.000;.417;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
607054;32323;Peterson, Jace;Jace Peterson;atl;A;L;1;4;45;45;4;;;;;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
435559;28802;Suzuki, Kurt;Kurt Suzuki;atl;A;R;1;2;2;2;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
452095;30157;Flowers, Tyler;Tyler Flowers;atl;A;R;1;2;2;2;2;;;;;9;3;2;1;1;0;0;1;0;0;0;0;1;0;0;.500;.667;1.000;1.667;.650;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
622666;33741;Camargo, Johan;Johan Camargo;atl;A;S;1;;;;;;;;;9;3;3;0;0;0;0;0;0;0;0;1;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
461314;28476;Kemp, Matt;Matt Kemp;atl;A;R;1;7;7;7;7;;;;;18;6;5;2;0;0;0;0;0;1;0;2;0;0;0;.400;.500;.400;.900;.417;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
621020;34895;Swanson, Dansby;Dansby Swanson;atl;A;R;1;;;;;;;;;14;5;4;0;0;0;0;0;1;0;0;1;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
455976;6478;Markakis, Nick;Nick Markakis;atl;A;L;1;7;7;7;7;;;;;23;6;6;3;0;0;0;0;0;0;0;2;0;0;0;.500;.500;.500;1.000;.450;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
518692;30193;Freeman, Freddie;Freddie Freeman;atl;A;L;1;3;3;3;3;;;;;7;3;2;1;0;0;0;0;1;1;0;0;0;0;0;.500;.667;.500;1.167;.533;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
506997;30584;Sanchez, Tony;Tony Sanchez;atl;A;R;1;2;;2;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
645277;33783;Albies, Ozzie;Ozzie Albies;atl;A;S;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
572669;32911;Adams, Lane;Lane Adams;atl;A;R;1;;;7;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
542255;31327;Inciarte, Ender;Ender Inciarte;atl;A;L;1;7;7;7;7;;;;;23;7;6;2;0;0;0;0;0;1;0;0;0;0;1;.333;.429;.333;.762;.357;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
571431;31359;Adams, Matt;Matt Adams;atl;A;L;1;3;3;3;3;;;;;10;3;3;0;0;0;0;0;0;0;0;1;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
608672;33149;Johnson, Micah;Micah Johnson;atl;A;L;1;4;4;4;4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
547004;33261;Ruiz, Rio;Rio Ruiz;atl;A;L;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;607625;34873;Lugo, Seth;Seth Lugo;nym;R;4:10 PM EDT;Citi Field;;;;
519237;31811;Rupp, Cameron;Cameron Rupp;phi;H;R;1;2;2;2;2;;;;;22;4;4;1;0;0;0;0;1;0;0;2;0;0;0;.250;.250;.250;.500;.225;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
595284;33304;Knapp, Andrew;Andrew Knapp;phi;H;S;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
547957;34885;Kim, Hyun-Soo;Hyun Soo Kim;phi;H;L;1;;;;;;;;;19;4;4;0;0;0;0;0;0;0;0;1;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
433217;5943;Blanco, Andres;Andres Blanco;phi;H;S;1;5;56;56;6;;;;;2;2;1;1;0;0;0;1;0;0;0;0;1;0;0;1.000;1.000;1.000;2.000;.800;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
656555;35291;Hoskins, Rhys;Rhys Hoskins;phi;H;R;1;;;;;;;;;6;1;0;0;0;0;0;0;0;1;0;0;0;1;0;.000;1.000;.000;1.000;.700;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
641487;33210;Crawford, J.P.;J.P. Crawford;phi;H;L;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
596748;32163;Franco, Maikel;Maikel Franco;phi;H;R;1;5;5;5;5;;;;;31;6;5;1;0;0;0;0;0;1;0;1;0;0;0;.200;.333;.200;.533;.267;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
520471;29670;Galvis, Freddy;Freddy Galvis;phi;H;S;1;6;56;56;6;;;;;21;5;4;2;0;0;0;1;0;1;0;1;0;1;1;.500;.600;.500;1.100;.500;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
571841;32753;Kelly, Ty;Ty Kelly;phi;H;S;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
571437;31738;Altherr, Aaron;Aaron Altherr;phi;H;R;1;7;7;7;7;;;;;7;2;2;0;0;0;0;0;0;0;0;2;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
573088;33507;Perkins, Cam;Cameron Perkins;phi;H;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
595751;31737;Alfaro, Jorge;Jorge Alfaro;phi;H;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
