Coco Crisp;7411;0.347;0.625;0.273;0.133;9.9; 0.411; 0.719; 0.309; 0.175;9.6
C.J. Cron;2484;0.383;0.667;0.284;0.149;6; 0.492; 0.829; 0.353; 0.201;11.6
Nelson Cruz;7532;0.644;1.02;0.419;0.351;11.4; 0.513; 0.864; 0.366; 0.229;12.5
Charlie Culberson;4265;0.417;0.743;0.321;0.104;5.5; 0.263; 0.474; 0.204; 0.052;0
Todd Cunningham;7796;1;1.5;0.621;0.5;12.2; 0.2; 0.354; 0.156; 0.08;5
Cheslor Cuthbert;2434;0.467;0.819;0.352;0.147;9.5; 0.394; 0.701; 0.304; 0.136;7.7
Chase d'Arnaud;6255;0.369;0.681;0.298;0.119;9.7; 0.315; 0.635; 0.282; 0.073;6.5
Travis d'Arnaud;2357;0.19;0.455;0.216;0;5.4; 0.363; 0.682; 0.298; 0.099;6.6
David Dahl;2721;0.375;0.728;0.32;0.062;8; 0.534; 0.895; 0.38; 0.218;12
Matt Davidson;5235;0.5;1;0.439;0;9.7; -1; -1; -1; -1;0
Chris Davis;3177;0.398;0.711;0.312;0.182;10.2; 0.487; 0.828; 0.352; 0.264;10.8
Ike Davis;3198;0;0;0;0;0; 0.231; 0.516; 0.238; 0;2.3
Khris Davis;7769;0.55;0.881;0.367;0.283;11.3; 0.517; 0.815; 0.343; 0.276;11.3
Rajai Davis;7557;0.374;0.67;0.292;0.139;11.9; 0.396; 0.708; 0.308; 0.138;10.5
Alejandro De Aza;7574;0.268;0.581;0.262;0.073;7.4; 0.332; 0.625; 0.279; 0.125;7.8
Jaff Decker;7784;0;0.091;0.063;0;7.8; 0.209; 0.448; 0.206; 0.023;3.6
Ivan De Jesus Jr.;6251;0.233;0.533;0.252;0.047;7.4; 0.331; 0.646; 0.284; 0.061;7.1
Matt den Dekker;7801;0;0;0;0;0; 0.333; 0.648; 0.293; 0.133;8.6
Daniel Descalso;4237;0.419;0.732;0.311;0.186;3.2; 0.425; 0.782; 0.336; 0.154;9.4
