"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Trey Mancini","Orioles","OAK @ BAL","LF","4.36","1.12",".72",".18",".02",".20",".56",".61",".01",".01",".30",".98","6.84","10.68","8.20","15149"
"Adam Jones","Orioles","OAK @ BAL","CF","4.25","1.18",".77",".21",".01",".20",".54",".64",".01",".01",".21",".62","6.79","10.61","8.17","6368"
"Javier Baez","Cubs","MIL @ CHC","2B","4.24","1.07",".67",".22",".04",".15",".50",".68",".08",".04",".23","1.12","6.78","10.61","8.12","12979"
"Ryan Zimmerman","Nationals","","1B","4.25",".99",".54",".23",".01",".21",".49",".68",".01",".01",".35",".99","6.82","10.67","8.04","4220"
"Nick Williams","Phillies","WSH @ PHI","RF","4.14","1.03",".64",".17",".04",".18",".52",".62",".04",".03",".34","1.09","6.79","10.60","8.09","14330"
"Yulieski Gurriel","Astros","HOU @ DET","1B","4.70","1.32",".93",".28",".02",".10",".57",".66",".02",".02",".16",".45","6.71","10.51","8.16","19198"
"Avisail Garcia","White Sox","CWS @ KC","RF","4.47","1.23",".85",".23",".04",".12",".53",".62",".03",".03",".27",".87","6.73","10.52","8.15","5760"
"Brandon Nimmo","Mets","MIA @ NYM","CF","4.13",".91",".55",".19",".04",".13",".53",".53",".05",".03",".71",".96","6.87","10.67","8.00","12927"
"Jesus Aguilar","Brewers","MIL @ CHC","1B","4.52",".95",".55",".20",".01",".19",".54",".60",".01",".01",".51","1.18","6.83","10.66","7.99","11342"
"Matt Adams","Cardinals","PIT @ STL","1B","4.31","1.04",".61",".20",".01",".21",".54",".62",".01",".00",".30",".93","6.78","10.59","8.06","9393"
"Cesar Hernandez","Phillies","WSH @ PHI","2B","4.66","1.09",".81",".16",".04",".08",".62",".35",".12",".07",".63",".97","6.80","10.50","8.13","10556"
"Carlos Gonzalez","Rockies","ARI @ COL","RF","4.09","1.09",".63",".27",".02",".17",".53",".57",".03",".02",".31",".85","6.75","10.52","8.06","7287"
"Chris Davis","Orioles","OAK @ BAL","1B","4.15",".85",".45",".14",".00",".26",".56",".60",".01",".01",".45","1.35","6.81","10.63","7.94","9272"
"DJ LeMahieu","Rockies","ARI @ COL","2B","4.51","1.27",".92",".22",".04",".10",".63",".45",".07",".03",".28",".61","6.70","10.40","8.17","9874"
"Ian Kinsler","Red Sox","TOR @ BOS","2B","4.15","1.04",".66",".24",".02",".13",".52",".64",".07",".04",".37",".44","6.75","10.55","8.01","6195"
"Carlos Correa","Astros","HOU @ DET","SS","4.49","1.13",".78",".21",".02",".13",".56",".60",".03",".02",".37",".88","6.72","10.49","8.03","14162"
"Tyler White","Astros","HOU @ DET","DH","4.26","1.09",".71",".20",".02",".16",".55",".62",".02",".01",".34",".78","6.72","10.50","8.01","15564"
"Eugenio Suarez","Reds","LAD @ CIN","3B","4.22",".96",".58",".20",".02",".17",".53",".56",".03",".02",".54","1.09","6.78","10.55","7.95","12552"
"Jorge Polanco","Twins","NYY @ MIN","SS","4.63","1.07",".70",".23",".04",".09",".58",".51",".09",".07",".43",".90","6.73","10.47","8.03","13152"
"Josh Reddick","Astros","HOU @ DET","RF","4.37","1.15",".79",".19",".06",".11",".56",".58",".04",".02",".33",".56","6.69","10.44","8.05","3892"
"Ryan Braun","Brewers","MIL @ CHC","1B","4.41","1.02",".62",".25",".01",".14",".50",".60",".08",".05",".40",".81","6.73","10.49","7.98","3410"
"Nick Ahmed","Diamondbacks","ARI @ COL","SS","4.31","1.10",".69",".24",".05",".12",".49",".64",".06",".04",".29",".70","6.68","10.43","8.00","12147"
"Daniel Palka","White Sox","CWS @ KC","DH","4.36","1.03",".65",".18",".04",".17",".53",".61",".05",".04",".31","1.11","6.69","10.45","7.98","14897"
"Yasmani Grandal","Dodgers","LAD @ CIN","C","4.41",".88",".51",".18",".01",".18",".55",".59",".02",".01",".58","1.12","6.76","10.55","7.85","11368"
"Ben Zobrist","Cubs","MIL @ CHC","RF","4.34","1.07",".71",".25",".03",".08",".51",".61",".03",".01",".55",".58","6.70","10.46","7.91","7435"
"Elvis Andrus","Rangers","TEX @ LAA","SS","4.66","1.22",".87",".24",".02",".08",".52",".55",".11",".06",".27",".65","6.62","10.30","8.05","8709"
"Adam Eaton","Nationals","WSH @ PHI","LF","4.81","1.11",".77",".20",".04",".10",".58",".36",".09",".06",".53","1.05","6.67","10.31","8.01","11205"
"Nick Williams","Phillies","","RF","4.35","1.02",".64",".17",".03",".17",".53",".56",".04",".03",".37","1.19","6.66","10.38","7.93","14330"
"Carlos Santana","Phillies","","1B","4.24",".84",".48",".18",".01",".17",".55",".56",".02",".02",".66",".67","6.75","10.51","7.79","2396"
"Nicholas Castellanos","Tigers","HOU @ DET","RF","4.39","1.15",".74",".24",".05",".12",".50",".55",".02",".02",".37","1.04","6.63","10.33","7.97","11737"
"Mallex Smith","Rays","CLE @ TB","LF","4.52","1.19",".86",".21",".08",".03",".49",".32",".26",".13",".30",".95","6.58","10.12","8.14","13608"
"Chad Pinder","Athletics","OAK @ BAL","LF","4.16","1.01",".63",".19",".01",".18",".54",".58",".03",".02",".35",".97","6.63","10.35","7.87","15191"
"Todd Frazier","Mets","MIA @ NYM","3B","4.24",".84",".49",".15",".00",".20",".54",".61",".04",".02",".53",".83","6.67","10.42","7.75","785"
